"ArticleID";"ArticleName";"SKU";"EAN";"ProductName";"Archetype";"Gender";"CountryOfOrigin";"Color";"Size";"PrimeCost";"Filter_collar";"Fastener";"Fit";"Lining";"Material";"Season";"Style"
"623de8c69c382b004ded32e1";"HOB-AW21-#039, Braun, L";"HOB-AW21-#039-BRAUN-L";;"HOB-AW21-#039";;"men";;;"L";;"Polokragen";"Knopf und Reißverschluss";"Regular-Fit";;"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Parka"
"623de9c69c382b004ded55f5";"HOB-AW21-#040, Schwarz, L";"HOB-AW21-#040-SCHWARZ-L";;"HOB-AW21-#040";;"men";;"Schwarz";"L";;;"Knopf und Reißverschluss";"Slim-Fit";"Baumwolle";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Safari-Stil"
"623deb169c382b004ded7fe3";"HOB-AW21-#041, Grün, L";"HOB-AW21-#041-GRÜN-L";;"HOB-AW21-#041";;"men";;;"L";;"Stehkragen mit Knopfverschluss";"Front-Reißverschluss";"Slim-Fit";"Baumwolle";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Bomber Stil"
"623dee189c382b004deddc88";"HOB-AW21-#042, Schwarz, L";"HOB-AW21-#042-SCHWARZ-L";;"HOB-AW21-#042";;"men";;"Schwarz";"L";;"Stehkragen";"Front-Reißverschluss";"Slim-Fit";"Baumwolle";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Bomber Stil"
"623deeef9c382b004dedff16";"HOB-AW21-#043, Schokoladenbraun, L";"HOB-AW21-#043-SCHOKOLADENBRAUN-L";;"HOB-AW21-#043";;"men";;;"L";;"Polokragen";"Front-Reißverschluss";"Slim-Fit";"Baumwolle";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"623def7a9c382b004dee0361";"HOB-AW21-#044, Schwarz, M";"HOB-AW21-#044-SCHWARZ-M";;"HOB-AW21-#044";;"men";;"Schwarz";"M";;"Stehkragen mit Knopfverschluss";"Front-Reißverschluss";"Slim-Fit";"Baumwolle";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Biker Stil"
"623df0b89c382b004dee3507";"HOB-AW21-#045, Oliv-grün, L";"HOB-AW21-#045-OLIV-GRÜN-L";;"HOB-AW21-#045";;"men";;"Oliv-grün";"L";;"Stehkragen mit Knopfverschluss";"Front-Reißverschluss";"Slim-Fit";"Baumwolle";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Biker Stil"
"623df20f9c382b004dee5b63";"HOB-AW21-#046, Cognac, M";"HOB-AW21-#046-COGNAC-M";;"HOB-AW21-#046";;"men";;"Cognac";"M";;"Polokragen";"Front-Reißverschluss";"Slim-Fit";"Baumwolle";"Lamm-Velour Leder";"Frühling/Herbst - Übergang";"Bomber Stil"
"623df2ef9c382b004dee87e9";"HOB-AW21-#047, Rot, L";"HOB-AW21-#047-ROT-L";;"HOB-AW21-#047";;"men";;"Rot";"L";;"Stehkragen mit Knopfverschluss";"Front-Reißverschluss";"Slim-Fit";"Baumwolle";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Biker Stil"
"623df3d59c382b004deeac8c";"HOB-AW21-#048, Braun, XL";"HOB-AW21-#048-BRAUN-XL";;"HOB-AW21-#048";;"men";;"Braun";"XL";;"Stehkragen mit Knopfverschluss";"Front-Reißverschluss";"Slim-Fit";"Baumwolle";"Lamm-Nappa Leder";"Frühling/Herbst - Übergang";"Klassicher Stil"
"61dc31709c382b004d85ab9b";"Holly, Bordeauxrot, 2XL";"FW21-RT-69-BORDEAUXROT-2XL";;"Holly";"Damen-Lederjacke";"women";"PK";"Bordeauxrot";"2XL";;"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"61dc31709c382b004d85abaa";"Holly, Bordeauxrot, 3XL";"FW21-RT-69-BORDEAUXROT-3XL";;"Holly";"Damen-Lederjacke";"women";"PK";"Bordeauxrot";"3XL";;"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"61dc31709c382b004d85ab7e";"Holly, Bordeauxrot, L";"FW21-RT-69-BORDEAUXROT-L";;"Holly";"Damen-Lederjacke";"women";"PK";"Bordeauxrot";"L";;"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"61dc31709c382b004d85ab70";"Holly, Bordeauxrot, M";"FW21-RT-69-BORDEAUXROT-M";;"Holly";"Damen-Lederjacke";"women";"PK";"Bordeauxrot";"M";;"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"61dc31709c382b004d85ab62";"Holly, Bordeauxrot, S";"FW21-RT-69-BORDEAUXROT-S";;"Holly";"Damen-Lederjacke";"women";"PK";"Bordeauxrot";"S";;"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"61dc31709c382b004d85ab8d";"Holly, Bordeauxrot, XL";"FW21-RT-69-BORDEAUXROT-XL";;"Holly";"Damen-Lederjacke";"women";"PK";"Bordeauxrot";"XL";;"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"61dc31709c382b004d85ab53";"Holly, Bordeauxrot, XS";"FW21-RT-69-BORDEAUXROT-XS";;"Holly";"Damen-Lederjacke";"women";"PK";"Bordeauxrot";"XS";;"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"616c62519c382b004d38b580";"Holly, Cognac, 2XL";"FW21-RT-69-COGNAC-2XL";;"Holly";"Damen-Lederjacke";"women";"PK";"Cognac";"2XL";;"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"616c62519c382b004d38b58e";"Holly, Cognac, 3XL";"FW21-RT-69-COGNAC-3XL";;"Holly";"Damen-Lederjacke";"women";"PK";"Cognac";"3XL";;"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"616c62519c382b004d38b564";"Holly, Cognac, L";"FW21-RT-69-COGNAC-L";;"Holly";"Damen-Lederjacke";"women";"PK";"Cognac";"L";;"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"616c62519c382b004d38b556";"Holly, Cognac, M";"FW21-RT-69-COGNAC-M";;"Holly";"Damen-Lederjacke";"women";"PK";"Cognac";"M";;"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
"616c62519c382b004d38b548";"Holly, Cognac, S";"FW21-RT-69-COGNAC-S";;"Holly";"Damen-Lederjacke";"women";"PK";"Cognac";"S";;"Reverskragen";"Schräger Front-Reißverschluss";"Slim-Fit";"Kunstfellfütterung";"Lamm-Nappa Leder";"Herbst/Winter - Übergangsmantel";"Biker Stil"
